time, gx, gy, gz, ax, ay, az, mx, my, mz
10808290,-0.060,-0.060,-0.030,+0.020,-0.074,+9.932,+25.300,+3.100,-33.500
10808300,-0.050,-0.030,-0.030,+0.025,-0.066,+9.920,+25.300,+2.400,-33.800
10808310,-0.060,+0.060,-0.070,+0.021,-0.081,+9.941,+25.300,+2.900,-33.500
10808320,+0.110,-0.060,-0.040,+0.022,-0.071,+9.943,+25.300,+3.100,-34.500
10808330,+0.170,-0.110,-0.060,+0.021,-0.076,+9.941,+25.600,+2.600,-32.800
10808340,+0.400,-0.190,-0.080,+0.022,-0.076,+9.942,+25.600,+2.200,-33.600
10808350,+0.720,-0.330,-0.090,+0.020,-0.071,+9.953,+25.300,+2.600,-34.000
10808360,+2.400,-0.530,-0.300,+0.019,-0.115,+10.086,+25.400,+2.900,-34.000
10808370,+7.410,-1.390,-0.350,+0.007,-0.124,+10.174,+24.800,+2.700,-33.800
10808380,+8.960,-1.670,-0.410,+0.029,-0.029,+9.964,+24.800,+4.000,-37.300
10808390,+8.880,-1.110,+0.950,-0.054,+0.078,+9.933,+25.400,+2.400,-34.000
10808400,+7.230,-2.640,+0.650,+0.039,+0.037,+9.894,+24.500,+3.900,-37.100
10808410,+4.050,-5.360,+0.190,+0.020,+0.076,+9.909,+25.400,+2.400,-33.800
10808420,+3.340,-3.750,+0.220,+0.094,-0.070,+9.779,+25.400,+2.100,-33.300
10808430,+2.940,-0.940,-0.310,+0.076,-0.028,+9.790,+25.300,+2.400,-33.600
10808440,+2.550,+0.290,-0.430,+0.073,+0.027,+9.872,+25.400,+2.100,-33.100
10808450,+2.530,+1.640,-0.900,+0.109,+0.047,+9.909,+25.600,+2.100,-33.300
10808460,+2.710,+2.400,-0.370,+0.025,+0.042,+9.971,+25.100,+2.400,-33.600
10808470,+3.170,+3.460,-0.250,+0.081,+0.099,+10.059,+24.300,+3.700,-37.300
10808480,+2.220,+7.770,-1.730,+0.209,+0.207,+10.068,+25.400,+2.100,-33.300
10808490,+0.150,+17.760,-2.330,+0.030,+0.378,+10.419,+25.300,+2.400,-33.600
10808500,+5.690,+9.960,+1.480,-0.246,-0.087,+10.019,+25.800,+2.600,-33.000
10808510,+6.380,+8.290,+1.240,+0.031,+0.024,+9.919,+25.600,+2.100,-33.300
10808520,+2.590,+7.810,+1.310,-0.074,-0.004,+9.969,+25.600,+1.200,-33.000
10808530,+1.740,+8.450,+0.990,-0.028,-0.042,+9.955,+25.900,+1.700,-32.800
10808540,+1.730,+10.430,+1.000,+0.000,+0.045,+9.931,+24.800,+3.500,-36.900
10808550,+0.290,+9.590,+0.910,-0.082,+0.017,+9.891,+25.600,+2.400,-33.100
10808560,-0.410,+6.000,+0.790,-0.137,-0.035,+9.788,+25.600,+1.700,-33.300
10808570,-0.160,+4.470,+0.620,-0.118,-0.033,+9.747,+26.100,+2.100,-33.100
10808580,-1.540,+6.220,+0.220,-0.102,-0.025,+9.713,+25.900,+2.100,-33.000
10808590,-2.620,+5.910,-0.050,-0.139,-0.010,+9.819,+26.100,+2.100,-33.000
10808600,-1.780,+2.280,-0.080,-0.178,+0.101,+9.999,+25.600,+2.100,-32.800
10808610,-0.520,-1.550,+0.000,-0.129,+0.159,+10.000,+25.900,+2.200,-33.100
10808620,-0.330,-2.480,-0.200,-0.123,+0.140,+9.957,+25.300,+3.500,-36.300
10808630,-1.410,-1.890,-0.020,-0.127,+0.070,+9.924,+25.100,+4.000,-36.400
10808640,-2.490,-1.570,-0.300,-0.119,-0.007,+9.837,+26.100,+2.100,-33.100
