x,y,word,size,angle,color
81.0,147.0,datetime,5px,0.0,#4d82ae
340.5,285.0,reference,5px,0.0,#306998
269.0,423.5,signature,5px,1.5707963267948966,#3c79a9
188.0,180.0,long,5px,0.0,#ffe772
25.0,265.5,provide,5px,1.5707963267948966,#4686b8
217.5,420.0,compression,5px,0.0,#4884b3
418.5,334.0,constructor,5px,0.0,#ffe66e
298.0,228.0,required,5px,0.0,#ffe469
165.0,414.0,cv,5px,0.0,#4584b6
353.5,158.0,now,5px,0.0,#ffda4b
265.0,136.0,work,5px,0.0,#ffe066
44.5,294.0,right,5px,0.0,#4786b9
300.0,204.0,link,5px,0.0,#ffe162
311.0,148.0,Fraction,5px,0.0,#ffdd59
372.5,159.0,reset,5px,0.0,#ffd848
204.5,91.0,BytesIO,5px,0.0,#ffdd55
235.5,357.0,lower,5px,0.0,#3b77a7
431.0,320.0,dispatch,5px,0.0,#ffe468
